DATE_RECEIVED,PRODUCT_NAME,SUB_PRODUCT,ISSUE,SUB_ISSUE,CONSUMER_COMPLAINT_NARRATIVE,COMPANY_PUBLIC_RESPONSE,COMPANY,STATE_NAME,ZIP_CODE,TAGS,CONSUMER_CONSENT_PROVIDED,SUBMITTED_VIA,DATE_SENT_TO_COMPANY,COMPANY_RESPONSE_TO_CONSUMER,TIMELY_RESPONSE,CONSUMER_DISPUTED,COMPLAINT_ID
2013-07-31,Mortgage,Conventional fixed mortgage,Loan modification orcollection orforeclosure,,,,Ocwen,FL,33558,,N/A,Phone,03-11-2013,Closed with explanation,Yes,No,470970
2013-07-30,Credit card,,APR or interest rate,,,,Amex,MA,2215,,N/A,Referral,02-08-2013,Closed with explanation,Yes,No,470132
2013-07-30,Credit card,,Billing disputes,,,,Amex,NY,12060,,N/A,Referral,02-08-2013,Closed with explanation,Yes,Yes,470151
2013-07-30,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,Navient Solutions or Inc.,MD,21078,,N/A,Web,31-07-2013,Closed with explanation,Yes,No,479648
2013-07-31,Mortgage,Conventional fixed mortgage,Loan modification orcollection orforeclosure,,,,Provident Funding,CT,6106,,N/A,Web,05-08-2013,Closed with explanation,Yes,No,474893
2013-07-31,Mortgage,Home equity loan or line of credit,Application or originator or mortgage broker,,,,Bank of America,NY,11581,,N/A,Web,05-08-2013,Closed with explanation,Yes,Yes,471014
2013-07-31,Mortgage,Conventional fixed mortgage,Loan servicing or payments or escrow account,,,,Specialized Loan Servicing LLC,CA,94565,,N/A,Web,05-08-2013,Closed,Yes,No,471015
2013-07-30,Mortgage,Reverse mortgage,Loan modification orcollection orforeclosure,,,,CIT Bank National Association,FL,34237,,N/A,Referral,31-07-2013,Closed with explanation,Yes,Yes,479907
2013-07-30,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,JPMorgan Chase & Co.,SC,29212,Servicemember,N/A,Referral,31-07-2013,Closed with explanation,Yes,Yes,470298
2013-07-31,Mortgage,FHA mortgage,Loan modification orcollection orforeclosure,,,,Wells Fargo & Company,PA,19015,,N/A,Web,02-08-2013,Closed with explanation,Yes,No,473955
2013-07-30,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Experian,TX,76706,,N/A,Web,30-07-2013,Closed with explanation,Yes,No,470018
2013-07-30,Debt collection,Auto,Communication tactics,Frequent or repeated calls,,,Santander Consumer USA Holdings Inc,IL,62650,Servicemember,N/A,Web,30-07-2013,Closed with explanation,Yes,No,469982
2013-07-31,Bank account or service,Other bank product/service,Using a debit or ATM card,,,,Synchrony Financial,NC,27705,,N/A,Web,06-08-2013,Closed with explanation,Yes,No,480956
2013-07-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Nationstar Mortgage,CA,95678,,N/A,Postal mail,02-08-2013,Closed with explanation,Yes,No,471127
2013-07-31,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,MI,48240,,N/A,Phone,02-08-2013,Closed with explanation,Yes,No,471160
2013-07-31,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,CO,80917,,N/A,Web,31-07-2013,Closed with non-monetary relief,Yes,No,471166
2013-07-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Bank of America,FL,33146,,N/A,Referral,05-08-2013,Closed with explanation,Yes,Yes,461071
2013-07-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Citibank,FL,33146,,N/A,Referral,02-08-2013,Closed with explanation,Yes,No,461073
2013-07-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Bank of America,FL,33993,,N/A,Referral,02-08-2013,Closed with explanation,Yes,No,471172
2013-07-30,Bank account or service,Checking account,Account opening or closing or or management,,,,Bank of America,MA,2119,,N/A,Referral,31-07-2013,Closed with explanation,Yes,No,470365
2013-07-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Citibank,CA,91364,,N/A,Referral,02-08-2013,Closed with explanation,Yes,No,471327
2013-07-31,Mortgage,Other mortgage,Other,,,,Bank of America,CO,80126,,N/A,Referral,05-08-2013,Closed with non-monetary relief,Yes,Yes,471179
2013-07-29,Consumer Loan,Vehicle lease,Managing the loan or lease,,,,Asset Management Outsourcing or Inc.,NY,11030,,N/A,Web,31-07-2013,Closed with explanation,Yes,No,469606
2013-07-30,Debt collection,Federal student loan,Communication tactics,Frequent or repeated calls,,,Navient Solutions or Inc.,NY,10026,,N/A,Web,29-07-2013,Closed with explanation,Yes,No,469736
2013-07-31,Bank account or service,Checking account,Problems caused by my funds being low,,,,TD Bank US Holding Company,FL,33186,,N/A,Referral,02-08-2013,Closed with monetary relief,Yes,No,471071
2013-07-30,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,Convergent Resources or Inc.,NV,89074,,N/A,Referral,01-08-2013,Closed,Yes,No,469810
2013-07-31,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,MO,63456,,N/A,Web,06-08-2013,Closed with non-monetary relief,Yes,No,480943
2013-07-30,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Bank of America,MO,64048,,N/A,Referral,31-07-2013,Closed with explanation,Yes,No,470235
2013-07-30,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Bank of America,MD,20878,,N/A,Referral,31-07-2013,Closed,Yes,No,470507
2013-07-31,Bank account or service,Savings account,Account opening or closing or or management,,,,Wells Fargo & Company,CA,91214,Older American,N/A,Web,02-08-2013,Closed with explanation,Yes,No,471075
2013-07-31,Bank account or service,Checking account,Problems caused by my funds being low,,,,TD Bank US Holding Company,NJ,8850,,N/A,Web,02-08-2013,Closed with explanation,Yes,No,471077
2013-07-31,Mortgage,Conventional adjustable mortgage (ARM),Loan modification orcollection orforeclosure,,,,Citibank,CA,92610,Older American,N/A,Web,02-08-2013,Closed with explanation,Yes,No,463102
2013-07-30,Debt collection,Other (i.e. phone or health club or etc.),Cont'd attempts collect debt not owed,Debt was paid,,,Professional Debt Mediation or Inc.,FL,32304,,N/A,Web,19-09-2013,Closed with explanation,Yes,No,469753
2013-07-31,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,CT,6016,,N/A,Postal mail,12-08-2013,Closed with non-monetary relief,Yes,No,471082
2013-07-31,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,Nationstar Mortgage,MD,20607,,N/A,Web,02-08-2013,Closed with explanation,Yes,No,471155
2013-07-31,Bank account or service,Checking account,Making/receiving payments or sending money,,,,Bank of America,NJ,7005,,N/A,Referral,05-08-2013,Closed with explanation,Yes,No,471197
2013-07-30,Credit card,,APR or interest rate,,,,Discover,MI,48141,,N/A,Web,30-07-2013,Closed with monetary relief,Yes,No,470224
2013-07-31,Mortgage,Other mortgage,Loan servicing or payments or escrow account,,,,Third Federal Savings & Loan,OH,43220,,N/A,Referral,02-08-2013,Closed with explanation,Yes,No,471207
2013-07-31,Mortgage,FHA mortgage,Loan modification orcollection orforeclosure,,,,Bank of America,FL,34120,,N/A,Web,02-08-2013,Closed with explanation,Yes,No,471208
2013-07-30,Bank account or service,Other bank product/service,Making/receiving payments or sending money,,,,PayPal Holdings or Inc.,FL,32351,Older American or Servicemember,N/A,Phone,01-08-2013,Closed with monetary relief,Yes,No,480459
2013-07-31,Credit card,,Advertising and marketing,,,,Amex,WI,53937,Older American,N/A,Web,31-07-2013,Closed with monetary relief,Yes,No,484764
